IP,LongURL,PreSuffix,SubDomain,@Symbol,TLDInPath,SuspiciousWords,PunctuationSymbols,DigitsInDomain,Entropy,KLDivergence,Phishy
0,0,0,0,0,1,0,0,0,2.68021251,0.359471963,1
0,2,0,0,0,0,0,0,0,2.82112729,0.351538581,0
0,2,0,0,0,1,0,0,0,2.735998525,0.305827557,1
0,0,1,0,0,0,0,0,0,2.394814398,0.580003064,1
0,0,1,0,0,0,0,0,0,2.306336271,0.540754298,1
0,2,0,0,0,1,0,0,0,2.819305921,0.306335729,1
0,2,0,0,0,1,0,0,0,2.857939555,0.297310928,1
0,0,0,0,0,0,0,0,0,2.61657729,0.34333039,1
0,1,0,0,0,1,0,0,0,2.767636914,0.582634783,1
0,0,0,0,0,0,0,0,0,2.313153679,1.1635471,0
0,0,0,0,0,0,0,0,0,2.647509501,0.467346914,1
0,0,0,0,0,0,0,0,0,2.647509501,0.467346914,0
0,2,0,0,0,0,1,0,0,2.761433282,0.38204832,1
0,2,0,0,0,1,1,0,1,2.664076309,0.54738959,1
0,0,0,0,0,0,0,0,0,2.488327743,1.009490141,1
0,0,1,0,0,0,0,0,0,2.616815195,0.346024342,0
0,0,0,0,0,0,0,0,0,2.397922272,0.529574653,1
0,0,1,0,0,1,0,0,0,2.517896671,0.404604162,1
1,0,0,1,0,1,0,0,1,2.26404926,0.726279937,0
0,0,1,0,0,1,0,0,0,2.64882171,0.258280492,0
0,1,0,0,0,1,0,0,0,2.634705722,0.284240228,1
0,2,0,0,0,0,0,0,0,2.840161642,0.233718204,0
0,0,0,0,0,0,0,0,0,2.595308918,0.602479456,1
0,2,0,0,0,0,0,0,0,3.176096625,0.425536737,0
0,2,0,0,0,0,0,0,0,2.654393694,0.382243395,1
0,1,1,0,0,1,0,0,0,2.800644526,0.280670282,0
0,1,0,0,0,0,0,0,0,2.657487353,0.301476106,1
0,1,0,0,0,0,0,0,0,2.622465259,0.338062622,0
0,0,0,0,0,0,0,0,0,2.62554883,0.353058934,0
0,1,0,0,0,0,0,0,0,2.622465259,0.338062622,0
0,1,1,0,0,1,0,0,0,2.727264426,0.304169352,1
0,1,1,1,0,0,0,0,0,2.614656071,0.446452366,0
0,0,0,0,0,1,0,0,0,2.620842177,0.446054691,1
0,1,0,0,0,0,0,0,0,2.549243489,0.356781722,0
0,2,0,0,0,1,1,1,0,2.767449366,0.268147293,1
0,1,0,0,0,1,0,0,0,2.705349458,0.253992059,1
0,0,0,0,0,1,0,0,0,2.701601465,0.33556932,0
